lambda,l2norm
0.000,4.1752081e-02
0.002,4.1674518e-02
0.004,4.1596711e-02
0.006,4.1519044e-02
0.008,4.1440959e-02
0.010,4.1362767e-02
0.012,4.1284868e-02
0.014,4.1206915e-02
0.016,4.1128647e-02
0.018,4.1050771e-02
0.020,4.0972485e-02
0.022,4.0894050e-02
0.024,4.0816048e-02
0.026,4.0737700e-02
0.028,4.0659316e-02
0.030,4.0581350e-02
0.032,4.0502358e-02
0.034,4.0424043e-02
0.036,4.0345963e-02
0.038,4.0266761e-02
0.040,4.0187913e-02
0.042,4.0109737e-02
0.044,4.0030627e-02
0.046,3.9951101e-02
0.048,3.9873110e-02
0.050,3.9794235e-02
0.052,3.9715415e-02
0.054,3.9636151e-02
0.056,3.9557393e-02
0.058,3.9478232e-02
0.060,3.9399262e-02
0.062,3.9320144e-02
0.064,3.9241191e-02
0.066,3.9161799e-02
0.068,3.9082809e-02
0.070,3.9003203e-02
0.072,3.8923867e-02
0.074,3.8844494e-02
0.076,3.8765115e-02
0.078,3.8685665e-02
0.080,3.8606132e-02
0.082,3.8526296e-02
0.084,3.8446972e-02
0.086,3.8367090e-02
0.088,3.8287411e-02
0.090,3.8207548e-02
0.092,3.8128379e-02
0.094,3.8048430e-02
0.096,1.5359041e-02
0.098,1.5313041e-02
0.100,1.5267113e-02
0.105,1.5152611e-02
0.110,1.5038562e-02
0.115,1.4924962e-02
0.120,1.4811810e-02
0.125,1.4699103e-02
0.130,1.4586839e-02
0.135,1.4475016e-02
0.140,1.4363632e-02
0.145,1.4252685e-02
0.150,1.4142171e-02
0.155,1.4032090e-02
0.160,1.3922438e-02
0.165,1.3813214e-02
0.170,1.3704415e-02
0.175,1.3596046e-02
0.180,1.3488092e-02
0.185,1.3380556e-02
0.190,1.3273438e-02
0.195,1.3166733e-02
0.200,1.3060441e-02
0.210,1.2849084e-02
0.220,1.2639350e-02
0.230,1.2431219e-02
0.240,1.2224676e-02
0.250,1.2019702e-02
0.260,1.1816281e-02
0.270,1.1614394e-02
0.280,1.1414026e-02
0.290,1.1215158e-02
0.300,1.1017773e-02
0.310,1.0821855e-02
0.320,1.0627386e-02
0.330,1.0434350e-02
0.340,1.0242731e-02
0.350,1.0052511e-02
0.360,9.8636738e-03
0.370,9.6762035e-03
0.380,9.4900836e-03
0.390,9.3052980e-03
0.400,9.1218162e-03
0.410,8.9396495e-03
0.420,8.7587691e-03
0.430,8.5791596e-03
0.440,8.4008052e-03
0.450,8.2236907e-03
0.460,8.0478007e-03
0.470,7.8731201e-03
0.480,7.6996340e-03
0.490,7.5273273e-03
0.500,7.3561855e-03
0.510,7.1861940e-03
0.520,7.0173383e-03
0.530,6.8496040e-03
0.540,6.6829900e-03
0.550,6.5174551e-03
0.560,6.3529998e-03
0.570,6.1896112e-03
0.580,6.0272753e-03
0.590,5.8659784e-03
0.600,5.7057070e-03
0.610,5.5464480e-03
0.620,5.3881859e-03
0.630,5.2309126e-03
0.640,5.0746130e-03
0.650,4.9192746e-03
0.660,4.7648850e-03
0.670,4.6114319e-03
0.680,4.4589031e-03
0.690,4.3072868e-03
0.700,4.1565710e-03
0.710,4.0067442e-03
0.720,3.8577947e-03
0.730,3.7097112e-03
0.740,3.5624824e-03
0.750,3.4160973e-03
0.760,3.2705447e-03
0.770,3.1258140e-03
0.780,2.9818944e-03
0.790,2.8387754e-03
0.800,2.6964466e-03
0.810,2.5548977e-03
0.820,2.4141186e-03
0.830,2.2740994e-03
0.840,2.1348301e-03
0.850,1.9963011e-03
0.860,1.8585029e-03
0.870,1.7214261e-03
0.880,1.5850614e-03
0.890,1.4493999e-03
0.900,1.3144328e-03
0.910,1.1801515e-03
0.920,1.0465478e-03
0.930,9.1361416e-04
0.940,7.8134368e-04
0.950,6.4970226e-04
0.960,5.1874254e-04
0.970,3.8844559e-04
0.980,2.5884873e-04
0.990,1.3025287e-04
1.000,2.9148949e-06
