lambda,W,Wc
0.000,28.386855899207,0
0.002,28.385776963115,-0.00107894
0.004,28.384699452904,-0.00215645
0.006,28.383623366597,-0.00323253
0.008,28.382548702069,-0.0043072
0.010,28.381475457299,-0.00538044
0.012,28.380403630270,-0.00645227
0.014,28.379333218847,-0.00752268
0.016,28.378264220994,-0.00859168
0.018,28.377196566018,-0.00965933
0.020,28.376130373871,-0.0107255
0.022,28.375065587621,-0.0117903
0.024,28.374002205211,-0.0128537
0.026,28.372940224556,-0.0139157
0.028,28.371879643553,-0.0149763
0.030,28.370820460144,-0.0160354
0.032,28.369762672202,-0.0170932
0.034,28.368706277659,-0.0181496
0.036,28.367651274393,-0.0192046
0.038,28.366597660333,-0.0202582
0.040,28.365545433329,-0.0213105
0.042,28.364494591303,-0.0223613
0.044,28.363445132106,-0.0234108
0.046,28.362397053599,-0.0244588
0.048,28.361350353706,-0.0255055
0.050,28.360305030258,-0.0265509
0.052,28.359261081132,-0.0275948
0.054,28.358218504185,-0.0286374
0.056,28.357177297276,-0.0296786
0.058,28.356137458276,-0.0307184
0.060,28.355098985032,-0.0317569
0.062,28.354061875345,-0.032794
0.064,28.353026127085,-0.0338298
0.066,28.351991738136,-0.0348642
0.068,28.350958706297,-0.0358972
0.070,28.349927029397,-0.0369289
0.072,28.348896705263,-0.0379592
0.074,28.347867731757,-0.0389882
0.076,28.346840106708,-0.0400158
0.078,28.345813827872,-0.0410421
0.080,28.344788893169,-0.042067
0.082,28.343765300363,-0.0430906
0.084,28.342743047286,-0.0441129
0.086,28.341722003268,-0.0451339
0.088,28.340702414496,-0.0461535
0.090,28.339684158562,-0.0471717
0.092,28.338667233239,-0.0481887
0.094,28.337651636360,-0.0492043
0.096,28.336637365708,-0.0502185
0.098,28.335624419093,-0.0512315
0.100,28.334612792803,-0.0522431
0.105,28.332089499054,-0.0547664
0.110,28.329574418501,-0.0572815
0.115,28.327067516719,-0.0597884
0.120,28.324568759138,-0.0622871
0.125,28.322078111244,-0.0647778
0.130,28.319595538531,-0.0672604
0.135,28.317121006392,-0.0697349
0.140,28.314654480293,-0.0722014
0.145,28.312195925680,-0.07466
0.150,28.309745307977,-0.0771106
0.155,28.307302592632,-0.0795533
0.160,28.304867745163,-0.0819882
0.165,28.302440731077,-0.0844152
0.170,28.300021515908,-0.0868344
0.175,28.297610065240,-0.0892458
0.180,28.295206344637,-0.0916496
0.185,28.292810319814,-0.0940456
0.190,28.290421956471,-0.0964339
0.195,28.288041220387,-0.0988147
0.200,28.285668127598,-0.101188
0.210,28.280944496278,-0.105911
0.220,28.276250830755,-0.110605
0.230,28.271586860279,-0.115269
0.240,28.266952315457,-0.119904
0.250,28.262346928257,-0.124509
0.260,28.257770432089,-0.129085
0.270,28.253222561969,-0.133633
0.280,28.248703054483,-0.138153
0.290,28.244211647985,-0.142644
0.300,28.239748082535,-0.147108
0.310,28.235312100040,-0.151544
0.320,28.230903444269,-0.155952
0.330,28.226521860899,-0.160334
0.340,28.222167097537,-0.164689
0.350,28.217838903815,-0.169017
0.360,28.213537031346,-0.173319
0.370,28.209261233763,-0.177595
0.380,28.205011266864,-0.181845
0.390,28.200786888385,-0.186069
0.400,28.196587858248,-0.190268
0.410,28.192413938526,-0.194442
0.420,28.188264893293,-0.198591
0.430,28.184140477792,-0.202715
0.440,28.180040489418,-0.206815
0.450,28.175964683189,-0.210891
0.460,28.171912832136,-0.214943
0.470,28.167884711730,-0.218971
0.480,28.163880099338,-0.222976
0.490,28.159898774734,-0.226957
0.500,28.155940519721,-0.230915
0.510,28.152005118413,-0.234851
0.520,28.148092356961,-0.238764
0.530,28.144202023747,-0.242654
0.540,28.140333909369,-0.246522
0.550,28.136487806450,-0.250368
0.560,28.132663509842,-0.254192
0.570,28.128860816514,-0.257995
0.580,28.125079525455,-0.261776
0.590,28.121319437855,-0.265536
0.600,28.117580356995,-0.269276
0.610,28.113862088112,-0.272994
0.620,28.110164438611,-0.276691
0.630,28.106487217946,-0.280369
0.640,28.102830237450,-0.284026
0.650,28.099193310629,-0.287663
0.660,28.095576252876,-0.29128
0.670,28.091978882573,-0.294877
0.680,28.088400591269,-0.298455
0.690,28.084841981945,-0.302014
0.700,28.081302515022,-0.305553
0.710,28.077782015022,-0.309074
0.720,28.074280308407,-0.312576
0.730,28.070797223554,-0.316059
0.740,28.067332590458,-0.319523
0.750,28.063886241715,-0.32297
0.760,28.060458461327,-0.326397
0.770,28.057048236518,-0.329808
0.780,28.053655806821,-0.3332
0.790,28.050281011339,-0.336575
0.800,28.046923691033,-0.339932
0.810,28.043583688499,-0.343272
0.820,28.040260848625,-0.346595
0.830,28.036955017314,-0.349901
0.840,28.033666042847,-0.35319
0.850,28.030393773837,-0.356462
0.860,28.027138061494,-0.359718
0.870,28.023898758619,-0.362957
0.880,28.020675719493,-0.36618
0.890,28.017468800344,-0.369387
0.900,28.014277857813,-0.372578
0.910,28.011102751293,-0.375753
0.920,28.007943340887,-0.378913
0.930,28.004799488954,-0.382056
0.940,28.001671058619,-0.385185
0.950,27.998557914796,-0.388298
0.960,27.995459924169,-0.391396
0.970,27.992376953379,-0.394479
0.980,27.989308873781,-0.397547
0.990,27.986255554025,-0.4006
1.000,27.983216871971,-0.403639
